account_id,classification,n_matches,overall_win_rate,changepoints,shift_details,flagged_at
225903427,class4_candidate_downward_shift,7892,0.509,[265],"[{'match_index': 265, 'win_rate_before': 0.625, 'win_rate_after': 0.475, 'shift': -0.15}]",2026-07-13T21:42:31.216862+00:00
196642176,class2_3_candidate_upward_shift,1659,0.574,[1480],"[{'match_index': 1480, 'win_rate_before': 0.55, 'win_rate_after': 0.725, 'shift': 0.175}]",2026-07-13T21:42:44.875584+00:00
207881417,class5_candidate_persistent_underperformance,189,0.376,[],[],2026-07-13T21:43:41.254588+00:00
198550128,class2_3_candidate_upward_shift,4048,0.513,"[2895, 2950]","[{'match_index': 2895, 'win_rate_before': 0.55, 'win_rate_after': 0.925, 'shift': 0.375}, {'match_index': 2950, 'win_rate_before': 0.925, 'win_rate_after': 0.425, 'shift': -0.5}]",2026-07-13T21:44:27.333162+00:00
317025162,class2_3_candidate_upward_shift,2494,0.485,"[560, 630]","[{'match_index': 560, 'win_rate_before': 0.475, 'win_rate_after': 0.825, 'shift': 0.35}, {'match_index': 630, 'win_rate_before': 0.85, 'win_rate_after': 0.3, 'shift': -0.55}]",2026-07-13T21:46:14.135247+00:00
394317603,class2_3_candidate_upward_shift,2336,0.494,"[1930, 1990]","[{'match_index': 1930, 'win_rate_before': 0.425, 'win_rate_after': 0.875, 'shift': 0.45}, {'match_index': 1990, 'win_rate_before': 0.825, 'win_rate_after': 0.275, 'shift': -0.55}]",2026-07-13T21:50:41.599250+00:00
876683771,class2_3_candidate_upward_shift,1232,0.525,"[425, 660]","[{'match_index': 425, 'win_rate_before': 0.45, 'win_rate_after': 0.925, 'shift': 0.475}, {'match_index': 660, 'win_rate_before': 0.6, 'win_rate_after': 0.475, 'shift': -0.125}]",2026-07-13T21:50:47.783221+00:00
306792266,class2_3_candidate_upward_shift,189,0.545,[50],"[{'match_index': 50, 'win_rate_before': 0.325, 'win_rate_after': 0.675, 'shift': 0.35}]",2026-07-13T21:52:14.292514+00:00
364831686,class4_candidate_downward_shift,5812,0.508,[115],"[{'match_index': 115, 'win_rate_before': 0.7, 'win_rate_after': 0.55, 'shift': -0.15}]",2026-07-13T21:52:32.748465+00:00
207850115,class4_candidate_downward_shift,381,0.546,[280],"[{'match_index': 280, 'win_rate_before': 0.6, 'win_rate_after': 0.375, 'shift': -0.225}]",2026-07-13T21:52:33.123174+00:00
136546277,class4_candidate_downward_shift,2489,0.511,"[1390, 1635]","[{'match_index': 1390, 'win_rate_before': 0.525, 'win_rate_after': 0.25, 'shift': -0.275}, {'match_index': 1635, 'win_rate_before': 0.325, 'win_rate_after': 0.65, 'shift': 0.325}]",2026-07-13T21:52:41.828855+00:00
329908602,class4_candidate_downward_shift,1602,0.557,[70],"[{'match_index': 70, 'win_rate_before': 0.9, 'win_rate_after': 0.6, 'shift': -0.3}]",2026-07-13T21:54:27.834026+00:00
445614739,class2_3_candidate_upward_shift,657,0.554,[340],"[{'match_index': 340, 'win_rate_before': 0.425, 'win_rate_after': 0.675, 'shift': 0.25}]",2026-07-13T21:56:54.926422+00:00
312501036,class2_3_candidate_upward_shift,441,0.463,"[80, 175]","[{'match_index': 80, 'win_rate_before': 0.5, 'win_rate_after': 0.875, 'shift': 0.375}, {'match_index': 175, 'win_rate_before': 0.825, 'win_rate_after': 0.4, 'shift': -0.425}]",2026-07-13T21:57:16.526842+00:00
169329476,class4_candidate_downward_shift,889,0.561,[485],"[{'match_index': 485, 'win_rate_before': 0.675, 'win_rate_after': 0.5, 'shift': -0.175}]",2026-07-13T21:57:16.911674+00:00
117867918,class4_candidate_downward_shift,603,0.527,[365],"[{'match_index': 365, 'win_rate_before': 0.625, 'win_rate_after': 0.275, 'shift': -0.35}]",2026-07-13T21:57:34.987795+00:00
335178533,class2_3_candidate_upward_shift,1697,0.541,[1235],"[{'match_index': 1235, 'win_rate_before': 0.5, 'win_rate_after': 0.65, 'shift': 0.15}]",2026-07-13T21:57:44.235318+00:00
139986621,class2_3_candidate_upward_shift,863,0.533,[765],"[{'match_index': 765, 'win_rate_before': 0.45, 'win_rate_after': 0.925, 'shift': 0.475}]",2026-07-13T22:00:59.892916+00:00
450700990,class2_3_candidate_upward_shift,1487,0.562,"[920, 1005]","[{'match_index': 920, 'win_rate_before': 0.45, 'win_rate_after': 0.775, 'shift': 0.325}, {'match_index': 1005, 'win_rate_before': 0.9, 'win_rate_after': 0.6, 'shift': -0.3}]",2026-07-13T22:01:00.455978+00:00
446793214,class5_candidate_persistent_underperformance,189,0.439,[],[],2026-07-13T22:03:24.831076+00:00
248611551,class4_candidate_downward_shift,3113,0.526,"[2870, 2935, 3005]","[{'match_index': 2870, 'win_rate_before': 0.475, 'win_rate_after': 0.225, 'shift': -0.25}, {'match_index': 2935, 'win_rate_before': 0.275, 'win_rate_after': 0.85, 'shift': 0.575}, {'match_index': 3005, 'win_rate_before': 0.8, 'win_rate_after': 0.325, 'shift': -0.475}]",2026-07-13T22:05:46.805781+00:00
1219005651,class2_3_candidate_upward_shift,1196,0.54,"[125, 310, 415, 630]","[{'match_index': 125, 'win_rate_before': 0.45, 'win_rate_after': 0.85, 'shift': 0.4}, {'match_index': 310, 'win_rate_before': 0.575, 'win_rate_after': 0.225, 'shift': -0.35}, {'match_index': 415, 'win_rate_before': 0.25, 'win_rate_after': 0.8, 'shift': 0.55}, {'match_index': 630, 'win_rate_before': 0.75, 'win_rate_after': 0.45, 'shift': -0.3}]",2026-07-13T22:08:56.852362+00:00
