account_id,usable,core_n_games,core_lhm_slope,core_gpm_slope,core_lhm_game1,support_n_games,economic_dominance_avg,discontinuity_n_matches,discontinuity_win_rate_changepoints
130758144,True,35,0.1787,12.419,3.54,15,0.065,6973,[]
913602049,False,0,,,,0,,4,
140337664,False,0,,,,0,,10,
120879107,True,42,-0.0112,-0.3736,3.27,8,-0.5,2161,[]
244351496,True,39,0.0203,1.1342,8.08,10,0.286,2633,[]
1419728405,True,40,0.0527,0.7174,5.34,10,0.545,552,[130]
130583574,True,19,0.2098,7.6088,7.93,4,0.35,357,[]
188537372,True,4,,,,2,-0.4,139,[]
123486248,True,1,,,,3,,136,[]
128793656,True,2,,,,0,,292,[]
1508858428,True,21,-0.0168,-3.2221,2.36,28,-0.512,551,[]
186657859,True,6,-0.1121,-43.4,8.91,0,1.0,14,
166620228,True,22,0.0189,-5.1739,11.01,9,0.177,250,[]
453181003,True,43,-0.034,-2.6244,2.76,7,-0.017,1897,[]
143959125,True,6,0.6809,27.6857,0.59,2,-0.5,2875,[]
390940758,True,2,,,,4,-1.0,450,[190]
136199769,True,5,-0.6648,-37.0,6.14,0,,2229,[]
